,RATING,CUT_COMMENT
1371,5.0,希望 列入 美国 人 感恩节 的 playlist 另外 卑鄙 的 我 的 形象 和 设定 应该 和 Fester 有 不少 关系 吧 加上 片中 对 迪士尼 的 揶揄 真是 耐人寻味 虽然 笑点 没有 第一部 密集 不过 加 了 不少 让 人 笑 不 出来 的 反思 和 讽刺 这波 演员 真 好 特别 是 小女孩 太 出彩 了 复仇 前 的 那 一笑 啊 巨美
1372,4.0,58 分 居然 有 Daine 羞耻 play 哈哈哈 第二部 在 灵气 上 比不上 第一部 不过 小 女孩儿 终于 笑 起来 的 时候 好好看
1373,5.0,没有 第一部 好看 其实   无字幕 无 鸭梨   y   讨厌 小孩子 表示 除非 我 女儿 是 Wednesday 那句 Homicide 太有 爱鸟 我 觉得 反角 的 那个 女人 好美 啊
1374,5.0,正到 爆咯 B B超 级 得意 大爱 这家 人
1375,5.0,赞翻 了 So   creepyWednesday 真 美丽   Pubert 也 太 可爱 了 好 爱好 爱
1376,4.0,ricci 最后 的 表情 亮 了 小 四眼 被 thing 吓 得 不行 又 是 一幕 经典 亚当斯 家 这 一对 儿女 外加 新生 小鬼头 实打实 的 死 小孩 放 一般 人 家庭 早 给 折腾 死 了 哥特式 搞笑 家庭 片 不 cult 不 欢乐
1377,3.0,新西兰 赵本山 远 赴美国 破纪录 前半段 公路 片 后半段 体育片 过程 中 少不了 淳朴 乡亲 艳遇 热心人 以及 小小的 恶意 对 年代 的 还原 挺 粗糙 的 我 完全 看不出来 这 是 个 讲 60 年代 故事 的 电影 好 在 全片 风格 特别 清亮 流程 中 有些 没来由 的 人物 和 没 动机 的 尬 聊 霍普金斯 在 这些 时候 演法 类似 赵本山
1378,4.0,如果 一个 人 没有 梦想   还 不如 做 一株 植物
1379,4.0,二百 零 一点 八五一 Burt   never   gave   up   making   his   bike   go   faster
1380,5.0,从 milford   sound 回 queenstown 的 车上 看 的 没有 字幕 不过 也 还 ok 了 有 梦想 的 人 永远 值得 人 敬佩 实现 梦想 永远 都 不晚
1381,3.0,虽然 影片 在 人物 的 刻画 上 很 是 薄弱   但 充满 人生哲理 的 语言 依然 像 一支 鸡血 针
1382,5.0,H 是 爷爷 咯
1383,4.0,有人 问 他 驾驶 给 他 什么 他 说 驰骋 给 了 我 一切 这是 非常 与众不同 的 励志 片 通过 你 的 努力 可以 感动 一切 创造 奇迹 最终 赢得 尊敬 与 喝彩 这 又 是 一件 真实 事件 新西兰人 七十年代 创造 的 摩托车 世界纪录 保持 至今 那年 他 六十七岁
1384,5.0,热泪盈眶 为 梦想
1385,5.0,有 梦想 的 人 充实 的 人生
1386,5.0,17 岁 想 看 的 电影 24 岁 才 看到
1387,4.0,你 的 世界 可能 永远 不会 如此 美好 但是 知道 这个 世界 还 可以 如此 美好 是 一件 非常 幸福 的 事
1388,4.0,家人 随 岁月 离 他 而 去 邻居 抱怨 他 清早 试车 抱怨 他 荒草 丛生 的 院子 心脏病 时常 发作 但 一切 都 不 重要 重要 的 只有 他 的 摩托车 和 更 快 的 速度
1389,5.0,只有 敢 梦想 人生 才 有 意义
1390,5.0,一股 正 能量 从 头顶 直灌 到 脚底 人生 真 美好
1391,5.0,温馨 的 故事 可爱 的 老头儿 人 没有 理想 就 像 蔬菜 一样
1392,5.0,这些 比 电影 情节 还 神奇 的 真实 故事 让 这 世界 还 不至于 乏味 到 令人 厌烦 的 程度 这 是 我 看 完 寻找 小糖 人时 的 感受     这部 电影 同样 如此   其实 片子 拍 的 并 不 出彩   也 就是 励志 片 老套路   但是 这 一切 在 这个 故事 面前 都 显得 不 那么 重要 了
1393,5.0,用 生命 在 破纪录 的 人   无人 能 超越 啊   没想到 是 改编自 真实 事件
1394,5.0,这个 故事 告诉 我们 有 一门 手艺 不管 年纪 多大 走遍 天下 都 不怕
1395,3.0,一部 老年 励志 片 with   小 mgl   at 影城
1396,3.0,中间 一段 加入 莫名其妙 的 公路 情节 是 为了 凑 长度 么
1397,3.0,"你 的 眼眸 我 的 灵魂 在 其中 颤抖 前行                                                                       
 还行 吧"
1399,4.0,漫威 和 dc 都 可以 去 死 了 没 搞头 了 看看 法国 的 科幻片 吧 至少 人家 前有 雷内克 莱尔 中有 特吕弗 后 有 吕克贝 松 科幻 年头 比 美国 可长 多 了
1400,1.0,不知所云
1401,5.0,很小 的 时候 看 的 已经 记不清 剧情 却 仍 记得 很棒
1402,4.0,漫画 史上 叫 得 上 号 的 作品 但 电影 乏善可陈
1403,3.0,好多好多 年前 看过 的 片子 当时 不知所云 还 被 它 的 画面 吓 到 了 现在 却 觉得 这 片子 的 镜头 真是 美 An   European   scifi   check
1404,3.0,诡异
1405,2.0,妈 的   完全 不 知道 在 干嘛   漫画 还 比 电影 强 点
1406,1.0,难看 得 不能 再 难看 了 人设 各种 扭曲 各种 歪瓜裂 枣 还 玩 文艺 玩 深沉 我 呸
1407,4.0,看 开头 20 分钟 觉得 WTH 越 看 越 觉得 还 不错 啊 这样 难以描述 的 故事 拍 成 这样 的 迷幻 氛围 不错 的 了
1408,4.0,其实 这部 片 好像 多年 之前 曾经 看过 再 看时 只有 模糊 的 印象 了 法国 人民 的 科幻片 也 拍 得 这么 神神 叨叨 里面 的 诗 都 很 美 音乐 和 气氛 搭配 得 很 好 漫画 改编 作品 内涵 需要 慢慢 体会
1409,3.0,荒诞 看鸟 神 是 怎样 传宗 接待 的
1410,4.0,很 美 除此以外 各 方面 都 很 差
1411,3.0,20090805
1412,1.0,看不懂   就 看到 XXOO 了 3 次 还是 3P 大乱 交一人 一神 一似 人 非人 看 在 福利 向上 给 1 星
1413,3.0,就 男女 主角 长 的 不错
1415,3.0,细节 不 记得 了
1416,2.0,一般 偏下
1417,3.0,这部 剧 真的 就是 看卡司 至于 剧情 真的 不用 太 计较
1419,3.0,和 TV 一样
1420,3.0,案子 依旧 没有 惊喜 冬奥 宣传片 get 结局 有 bug 宽叔 应该 随时 带 着 鼻塞 但 最后 一个 镜头 他 没 摘 鼻塞 就 打喷嚏 了 emm 波 瑠 非常适合 此类 职业女性 人设
1421,3.0,剧情 太弱 了
1422,2.0,做作 的 让 我 都 开始 讨厌 阿部 寛 了 唉 宽 叔 以前 做 配角 多讨喜
1423,3.0,小小的 失望 是 这个 特别篇 看不到 水谷 果穗 清凉 的 起床 睡衣 装
1424,4.0,是不是 预示 着 下 一季 的 启动
1426,3.0,其实 剧情 蛮 一般 的 所谓 高潮 也 很平 阿部宽 人形 警犬 的 设定 有点 太 模式化 了 演得 也 有点 敷衍 最近 对 haru 印象 上升 很快 衣品 也好 了 角色 类型 也 更 丰富 智慧 精英 感 很 强 border 和 北泽家 都 不错 这部 里面 也 有 她
1427,2.0,都 是 我 喜欢 的 演员 随便 看看
1428,4.0,波 瑠 太帅 了 感觉 SP 的 美颜 滤镜 比 之前 重 为什么 让 宽 叔 有事没事 讲 英语 啊 好 傻
1429,3.0,笑笑 闹 闹 又 一集 还行 吧
1430,4.0,香川 叔 是 走 谐星 路线 了 吗 哈哈
1431,3.0,生化武器 套 中套 黑 官僚 都 是 套路
1432,1.0,生化危机   病毒   绑架   政府 勾结 企业 的 阴谋   莫名其妙 的 超能力 主角 配合 没用 的 警察 和 没 存在 感 的 女主 简直 就是 烂 梗 集合   一分 给 阿部 的 鼻孔 香川 叔 在 里面 存在 感 约等于 0
1433,2.0,马马虎虎 只不过 凶手 一出场 就 已经 看 出来 了
1434,3.0,就 像 在 打 一局 毫无 悬念 的 牌牌 桌前 一水儿 的 poker   face 特别 没意思
1435,3.0,一般般 一般般
1436,3.0,神 了 还 能 出 sp 还是 别 耽误 各位 的 时间 了 吧
1437,2.0,1991 年 在 上海 沪东 文化宫 看 的 和 同学 于 钱 大概 是 在 上海 看 的 第一部 电影 当时 的 印象 还 不算 太 差 现在 看来 叙事 非常 混乱 支离破碎 一些 片段 套用 了 古典 的 故事 模式 比如 手 伸进 护胸 掏表 被 还是 掏枪
1439,2.0,弱智 一本 道 十米 距离 冲锋枪 打不中 敌人
1440,2.0,人死 时候 的 动作 都 好好笑
1441,4.0,小 凤凰   赛 贵妃   黑 老雕   歪龙贼   铲 恶霸   打 袍哥   共产 共妻 最 邪恶   吉凡雨   最牛 逼   手持 火箭 打 飞机   二 十几颗 原子弹   不及 双枪 老太婆
1442,3.0,我 说 主角 怎么 如此 熟悉 呢
1443,4.0,20151214 夜     1215 晨
1444,5.0,太 可爱 了
1445,5.0,我 只是 想 说   魂淡   头像 海报 是 少将 啊   师傅 赛高 　 那 不是 我 的 熊 　 是 你 的 熊   23333
1446,4.0,所以 师傅 你 是 格斗 家 吧 炼金术士 什么 的 只是 副业 吧 顺便 感慨 下 因为 一只 熊掉 了 而 邂逅 的 爱情
1447,5.0,笑笑 成狗 师父 果然 是 最 反差 萌 的
1448,4.0,好萌 呀
1449,5.0,是 让 我 感动 最深 哭 得 最 多 的 动漫 虽然 时间 的 漫长 比不上 柯南
1450,4.0,笑 死 啦 片尾 之后 才 是 正片
1451,5.0,小姐 你 的 熊掉 了 XDDD
1452,5.0,小姐   你 的 熊掉 了
1453,5.0,不及 SP4 给 人 的 感觉 好 但是 也 是 有 爱 有 深度 的 SP 师傅 18 岁 还是 很 好玩 的
1454,5.0,怎样 征服 美丽 少女   小姐 你 的 熊掉 了 エ   技能 get
1455,3.0,我 已 准备 好 权利 减半 义务 倍增 了
1456,4.0,哈哈 要 不要 这么 可爱
1457,4.0,小姐 你 的 熊掉 了
1458,3.0,小姐 你 的 熊掉 了
1459,5.0,这 是 你 的 熊 吗
1460,5.0,天 啊 我 要 受 不 鸟 了 啦
1461,4.0,两个 案件 紧密 的 相连 因 证据不足 而 无法 起诉 的 加害人 确实 是 社会 的 祸害 被害人 家属 的 最 恨 女 律师 的 执著 也 果然 是 日本 的 崇尚 类型 但 很 庆幸 有 他们 的 执著 世间 的 善会 多一份 理解 多一些   最爱 的 就是 正和叔 的 出演 深刻 动人 传情 的 悲愁
1462,2.0,这 剧情 哪有 高潮
1463,3.0,父女 的 微妙 心理 写 得 还 不错 对 司法制度 的 批判 呢 主题 先行 没 问题 但 过于 粗疏
1464,3.0,虐 故事 一般 但 姥爷 演技 棒棒 棒 有 弥补 到 竹 內二萌 起来 夸张 的 表情 也 是 蛮 想 上去 捏 脸 的
1465,4.0,小姐 您 忘 了 您 的 熊
1466,5.0,小姐   你 的 熊掉 了
1467,5.0,小姐 你 的 熊掉 了
1468,3.0,老爷 这 几年 演 的 父亲 都 太苦 了 总是 流泪 的 虐心 的 一 开始 不太 喜欢 竹内 结子 的 演法 一如 大 空港 一样 过于 夸张 不过 到 后面 还 真 挺 符合 一 脑袋 热情 的 菜鸟 律师 案件 为了 人情 和 法律 的 战斗 忽视 了 太 多 逻辑性 没 啥 可 提 的
1469,4.0,女主 的 卖萌 演技 浮夸 到 爆 剧情 漏洞百出 三星 给 老爷子 虐哭 了
1470,3.0,日本 看待 女性 的 眼光 真的 很 封建
1471,3.0,竹內 這種 年紀 還在 用晨間劇 的 方式 在 演戲 真的 大丈夫 另外 那些 主張 廢死 的 都 該 來 看看 這戲
1472,3.0,情节 上 很 简单 也 没有 多么 精彩 的 手法 看 得 下去 是因为 竹内 结子 她 的 表演 就算 不够 精彩 趣味十足 到 是 可以
1473,3.0,很多 细节 设置 的 很 牵强   多亏 了 诸位 戏骨 的 演技   才 得以 好似 掩盖 了 情节 设置 的 弱点   旁白 根本 没有 存在 的 必要 _ 后面 还 自动 消失 了
1474,2.0,剧情 矛盾 一箩筐 几乎 每个 情节 推进 处 都 有 bug 导致 结局 高潮 完全 不 感人 反而 显得 荒唐 可笑 就算 老爷 演技 逆天 也 救 不 回来
1475,4.0,老爷 演 得 太好了
1476,3.0,煽情 让 案子 弱 了
1477,3.0,看点 在 cast 中规中矩 有 几次 感性 过度 差点 要成 道德 绑架 警察 在 剧里 的 定位 很 微妙 整一个 负面 催化剂 除去 接待 态度 不好 的 那位 外 逼供 的 明 知道 会 严重 影响 判决 还照 做 不误 不是 热血 是 愚蠢 与 失职 几年 后 一副 我 后悔 但 没 做 错 的 自负 态度 也 很 恶心
1478,4.0,田村正和 加一星
1479,2.0,两颗 星给 老爷子 和 结子 姐 这剧 的 逻辑 怎么 想 都 有 问题 啊 教授 助手 早 干嘛 了 要是 早点 把 信 拿 出来 就 不会 有 后面 的 那些 事 了 法盲 的 我 看 的 很 晕 有 好 几次 被 情感 绑架 但是 最后 这个 近乎 于 无罪 的 审判 真的 好 吗 虽然 内心 在 叫好
1480,2.0,男主能 获得 谅解 完全 因为 是 古典 任三郎 还有 编导 高高在上 地 告诉 观众 被杀者 是   如何 罪有应得 但是 在 现实 中 如果 这样 都 能 大摇大摆 走出 法庭 那才 是 有 问题 的 法制 体系
1481,3.0,虐心虐 肺 的 片子 好 在 结局 光明
1482,4.0,老爷 在 法庭 上念 女儿 信 那段 不能 更虐 当真 相 揭开 错误 得到 迟到 的 修正 但 造成 的 伤害 已经 无法弥补 法 与 情理 天平 两端 永远 两难
1483,3.0,冲着 田村正和 来 的 可惜 眉宇之间 英气 不再 教育 女儿 是 最 不 容易 的 事情 作为 一个 父亲 也 是 很 难 吧
1484,5.0,accidentally   kelly   street
1485,3.0,这个 夏天 我们 总会 留下 一点 什么 留下 了 什么 我们 以后 就 会 成为 什么样 的 大人 3 如果 你 17 岁 你 想 的 只是 能 不能 上 大学 不再 是 处 男尿尿 可以 一 直线 的话 你 该是 多么 幸福 的 小盆友 啊 张世豪 追 着 孟克柔 不断 重复 问题 的 样子 超 写实 那个 时候 的 男孩子 就是 这 样子 无聊 的 可爱 温暖 的 台湾 小 清新
1486,4.0,不 知道 该评 多少 分 其实 我 是 乱打 的 啦 总归 3 分 4 分 之间 选 一下 很少 5 分 看到 很多 熟悉 的 东西 里面 的 桂纶 镁 还 很 稚嫩 不算 太 喜欢 这部 电影 不过 不闹 不累 看看 休闲 挺 好
1487,4.0,"在 那個 躁鬱 的 夏天 陽光 刺眼 天空 很 藍 青春 曖昧 羞澀 就 這麼 慌 張 淩 亂 地 跟 著 仲夏 一起 蒸發 跨過 這扇 藍色 大門 我們 就 變成 大人 卻 也 各 奔 東西 
 遺憾 當初 在 這麼 青澀 美好 的 年代 自己 拒絕 了 那 曖昧 帶來 的 純真戀 愛以 後 我 再也 找 不到 那個 人 了 我們 再也 找 不到 那個 感覺 下次 街頭 的 相遇 我 不會 再 喊 你 了"
1488,5.0,但 总是 会 留下 一些 什么 吧 留下 什么 我们 就 变成 什么样 的 大人 三年 五年 以后 甚至 更久 更久 以后 我们 会 变成 什么样 的 大人 呢 虽然 我闭 着 眼睛 也 看不见 自己 但是 我 却 可以 看见 你
1489,4.0,于是 我 似乎 看到 多年 以后 你 站 在 一扇 蓝色 的 大 门前 下午 三点 的 阳光 你 仍 有 几颗 青春痘 你 笑 着 我 跑 向 你 问 你 好不好 你 点点头 三年 五年 以后 甚至 更久 更久 以后 我们 会 变成 什么样 的 大人 呢 是 体育老师 还是 我妈 虽然 我闭 着 眼睛 也 看不见 自己 但是 我 却 可以 看见 你
1490,4.0,陈柏霖 这部 电影 里 的 可爱 成 了 经典 而素颜 的 桂纶 镁 也 初露锋芒 单纯 的 感情 很 青春 也 略带 忧伤 让 我们 如此 怀念 那样 的 读书 时代
1491,4.0,一部 簡單樸 素純 真的 電影 沒有 跌宕起伏 扣人心弦 的 故 事情 節但 卻 採用 了 物是人非 的 拍 攝 手法 對 同一 場景 進行 多次 拍 攝多個 不同 場景 的 相互 呼應 使 故事 線索 和 人物性格 更加 清晰 總之是 一部 令人 看 了 很 舒服 也 享受 到 青春 的 純 真的 電影
1492,4.0,"十七岁   午后 三点 的 阳光   青涩 过去 
 那时 他 只有 17 岁   而 现在   十年 已过   
 BERLIN   你 还是 做 正太 吧 TT"
1493,4.0,彼此 单车 追逐 一人 纠结 相同 的 问题 黑发 将 阳光 分岔 时间 把 青春 复原 几年 后 的 蓝色 大 门前 花 衬衫 的 男孩子 和 上前 搭讪 的 女孩子
1494,4.0,喜欢 那句话     我闭 着 眼睛 看不见 自己     却 可以 看见 你
1495,4.0,我 闭上眼睛 虽然 我 连 自己 都 看不见 但是 我 却 可以 看见 你
1496,4.0,青春 大概 就是 这样 吧 别扭 不 坦率 似懂非懂 有人 说 认真 的 爱过 一场 才 算 长大 可是 我 宁愿 停留 在 长不大 的 时候
1497,3.0,啊 这 有 什么 好看 的 啊 导演 编剧 眼中 的 高中生 就是 这样 的 么 对 活动 好 无聊   看 的 满脸 黑线 的 感觉 啊 还好 陈柏霖 还 可以 但 也 超级 痴呆 的 感觉 哎呀 买 呀 我 的 神 啊 豆瓣 都 这么 文艺 小 清新 么   PS 对 了 还有 就是 受不了 他们 的 港台腔 啊 你 看准 了 拉 好不好 嘛
1498,3.0,"前面 的 一个 小时 对于 我 这种 不够 细心 沉静 的 人 来说 近乎 煎熬 男女 主角 那 一遍 遍 的 你 到底 什么 意思 快 把 我 拖死 了 
 不过 一 小时 后 峰回路转 之前 莫名其妙 的 一切 都 变得 合情合理 又 青涩 得 让 人 鼻子 发酸"
1499,5.0,看 之前 剛哭 腫 眼睛 片子 播放 不知 不覺 就 樂 了 青春 和 愛情 哪個 更 讓 人 黯然 神傷 可惜 過了 17 歲 可惜 未 和 戀人 一起 看 可惜 了 天蝎座 o 型 血 我 喜歡   可惜 到 了 不能 騎 單車 的 城市
1500,5.0,你 说 过 我 的 笑 和 张士豪 很 像 当时 不 信 看过 之后 发现 原来 真的 挺 像 的 只是 你 早就 不 在 了
1501,4.0,孟克柔 告诉 我们 女 汉子 潜在 的 性取向 我 叫 张 志豪 天蝎座 O型 游泳队 吉他社 我 还 不错 哦 这 B 有 做 销售 的 潜质 嗯 林月珍 说 我 喜欢 了 他 那么 久 还是 在 捡 他 的 垃圾 要是 把 他 原子笔 的 水写 干 了 他 就 会 爱 上 我 这算 隐忍 的 爱 还是 纯粹 的 变态 这部 电影 确实 是 中国 对 台湾 青春片 的 最初 印象
1502,5.0,纯净 的 青春岁月 里 美好 的 幸福 的 随意 的 有 追求 的 有 挫败 的 在 这 结尾 的 时候 向 青春 致以 敬意
1503,3.0,整个 夏天 都 过去 了 而 我 还 什么 事 都 没 做 没有 想象 中 的 好 但 还 不错
1504,3.0,20130312
1505,4.0,这要 比 无 剧情 无 逻辑 的 法国 情色片 好看 多 了 btw 字幕 还是 下 英文 的 靠 谱
1507,3.0,其实 还 不错
1508,4.0,以为 是 法国 片 音乐 很 英国 小 清新 的
1509,3.0,这样 的 摄影师 很 该死
1510,4.0,小 黄小 清新 为 艺术 献身 的 国外 演员 值得 表扬 其实 看 完挺 无语 这 题材 应该 是 可以 拍 得 不错 的 啊 现在 俨然 就是 一个 充满 爱欲 的 MV 音乐 都 很 好听 有 的 画面 还 挺 好 英国 常年 不见 阳光 的 天空 很 适合 清新 小 片
1512,4.0,没 字幕
1513,3.0,就 这么 点事
1514,2.0,5010 摄影 和 配乐 都 挺不错 的 剧情 比较 无趣 一个 摄影师 和 女朋友 拍 了 不少 私房照 然后 做 了 个 展览 两人 分开 又 和 好 101 分钟 结束 了 电影 内嵌 片名 是 The   Orgasm   Diaries
1515,4.0,爱 让 人 迷恋
1516,2.0,一部 三级片 不过 没有 看太懂 意思 但 绝对 不是 介绍 那种 剧情
1517,3.0,哎 我 要是 看 av 也 会 选 这样 清新 靓丽 的 看 尺度 不错
1518,3.0,陈冠希 的 老表
1519,3.0,let   me   down
1521,3.0,这个 艳照 门 的 主角 显然 是 一个 而且 办出 了 展览会 因此 而 轰动 艺术界 更加 厉害 的 是 男主成 了 艺术家 而 女朋友 显然 为 这样 的 事情 感到 愤怒 最终 导致 劳燕分飞
1524,2.0,空有 闹腾 并 不好 笑 人 皆 傻 叉 行事 无 逻辑 且 到 埃及 不是 盗宝 探宝直 是 去 找 土豪 寻衅 打架 丑姑 的 二 逼 相 最 令人生厌 上门 过客 还 处处 挑战 主人 患处 土豪 找 这个 二货丑 姑写 传纪 也 是 极为 牵强 篡权 当 口 不是 紧密 攻防 还 找个 非专业 写手 的 傻 姑放 身边 添乱 唯有 战斗机 当 汽车 开 的 一幕 还 有点 新意 忒 暴殄天物 了
1525,2.0,整个 故事 一塌糊涂 今天 再 看 道格拉斯 没 啥 大变 特纳 已经 是 惨不忍睹 慨叹 岁月 摧人
1526,4.0,虽然 男女 主 眼角 皱纹 都 比 第一集 多 了 许多 但 还是 那么 的 浪漫 之极 爆米花 至极 ps 这集 女主 虽 仍 没 露点 但 底裤 走光 了 无数回
1527,4.0,故事 一般 喜欢 那个 年代 电影 的 质感 还有 看看 两个 主角 开 飞机 逛街 你 可以 的
1528,3.0,绿宝石 是 84 年 出品 尼罗河 之宝 是 89 年 出品 历险 故事 中 男主角 可以 历久 长青 夺宝奇兵 里面 的 哈里森 福特 横跨 20 多年 所以 我 对 道格拉斯 没 意见 但是 凯瑟琳 特纳 确实 年华 不再
1529,3.0,America
1530,2.0,续集 已 接近 癫狂
1531,3.0,走 了 很 多次 神 没有 第一部 绿宝石 那么 聚焦 场景 倒 是 很 不错 充满 异国 风情 阿拉伯 味
1532,4.0,算是 绿宝石 的 续作 票房 同样 火爆 不过 同样 类型 夺宝奇兵 更 成功 所以 这个 系列 也 就 没 做 下去 了
1533,2.0,我 喜欢 圣人 他 淡定 而 可爱 不 喜欢 那个 美国 男 的 又 冲动 又 拧 那么 危险 的 时刻 忽然 发现 了 女人 不 先 想着 救人 开口 就是 讥讽 刚 落地 不 先 想着 逃命 而是 指着 旁边 的 圣人 男 的 追问 这 是 谁 你 在 这里 交 的 朋友 争吵 后 很 是 丢 了 面子 赌气 走掉 还 抬手 打爆 了 飞机 故意 想 暴露目标 的 吧 这样 的
1534,3.0,凯瑟琳 特纳 在 普里 兹 家族 的 荣誉 里 令人难忘 这里 也 不错 当 飞机 冲向 人群 时 她 陪 着 笑脸 对 大家 说 sorry   sorry
1535,4.0,2007   12   10
1536,4.0,可怕 的 历险 浪漫 的 爱情
1537,3.0,绿宝石 的 续集
1538,3.0,一部 汤姆 索亚 式 的 儿童 历险记 迈克尔 道格拉斯 在 里面 卖萌受 不鸟
1539,3.0,Turner 真是 越长越 像 男 的 了 拍 完 这片 不到 十年 就 去 演 Chandler 的 爸爸 了
1540,3.0,比 第一部 弱 了 些 常见 的 续集 误区 就是 用大 场面 大 投入 来 取代 精巧 的 情节
1541,3.0,冒险 的 地点 转 至 埃及 场面 上 热闹 了 许多 游艇 飞机 火车 轮番 登场 喜剧 性 比较 强 完全 没有 紧张感 宝石 是 个 宗教 象征 的 人物 设定 比较 意外 这个 角色 也 比较 有意思 跟象 似 曾志伟 的 小个子 算是 主要 笑点 两 主角 倒 是 全 无 感觉
1542,3.0,有趣 的 冒險
1543,3.0,原来 是 部 续集 电影 我 说 丹尼 德维托 那个 角色 是 怎么回事 挺 简单 的 爱情 冒险 片 迈克尔 道格拉斯 的 银幕 媳妇儿 就是 这样 让 人 不 省心
1544,1.0,这 都 尼玛 什么 鬼
1545,1.0,QNMD
1546,1.0,女主 这么 丑有 负分 吗
1547,5.0,就算 女主 这么 丑 我 也 能 撸
1548,5.0,女主角                   老 又 丑 自信 满满 脾气 很大
1549,1.0,完全 不 知道 要 讲 什么 女主 只有 身材 能 看 脸 好 恶心   全剧 都 在 打电话   有病 吧   连 性爱 场面 都 拍 的 那么 假   让 我 完全 没有 欲望
1550,2.0,海报 好看 多 了
1551,1.0,一颗 星给 女主角 的 大 胸
1552,1.0,有没有 05 分 怎么 会 看 这种 片子
1553,2.0,很 无聊 没有 看到 未 删减 版
1554,2.0,女主 有点 丑 典型 的 韩国 女人 剧情 上 看 就是 一个 在 外面 打拼 的 女人 的 故事 很 艰辛 很 寂寞
1555,1.0,什么 鬼 不 知道 这个 资源 的 翻译 怎么 搞 的   感觉 都 对不上 号   韩语 也 怪怪的 听 起来   这 女主角 除了 胸 大都 垂 了 和 肤 白腿长   讲话 怎么 听 怎么 奇怪   各种 奇怪 的 g 点 和 泪点   这 什么 烂片
1556,2.0,女主 这 对 慕讷 很漂亮 哈
1557,1.0,你们 怎么 看 的 豆瓣
1558,1.0,浪费 我 时间
1559,5.0,好
1562,5.0,发泄 一下
1563,2.0,女主胸 很大 给加 一颗 星
1564,4.0,带感 啊
1565,4.0,復 仇記
1566,4.0,总 觉得 还 没有 刻画出 原著 的 某些 闪光点 我 考虑 看看书
1567,5.0,每隔 十年 必定 重拍 一次 的 经典 这 一部 是 由 上 译 群星 做 的 仅仅 一个 人 就 够 牛 X 了 还 何况 是 一堆 人
1568,4.0,那个 年代 看到 这样 的 电影 简直 就是 大开眼界 太 好看 了 补记
1569,3.0,央 6 公主 重播 重温 了 一下 小时候 直接 看 的 电影 没 看过 小说 觉得 很 好看 后来 长大 了 看过 小说 才 发现 电影 缩减 了 很多 但 依旧 保持 著 时光 的 美好 滤镜
1570,5.0,先看 02 新版   再 看 61 版   一番 比 对   老版 弥补 了 台词 的 欠缺   更 忠实 于 原著   是 优点 也 是 缺点 补充   上译 配音 1
1572,3.0,上译 配音 版
1574,3.0,一般 语言 太 晦涩 难懂 了
1575,4.0,在 上帝 尚未 揭开 一切 之前 我们 所能 做 的 只有 等待 和 希望
1578,3.0,上译厂 版本 2 个 半小时
1579,4.0,画面 五星 配音 五星 然而 原著 改编 的 程度 就
1580,4.0,好 奢华 的 场景 服装道具
1582,3.0,1961
1583,3.0,怪怪的   但是 这 配音 真是 绝 了
1584,5.0,坚持 自己 的 人生 才 是 真的 人生
1585,4.0,看 的 心酸 的 要死 但 非常 震撼 就 真的 是 那种 所有人 都 不 看好 一直 到 最后 一分钟 我 都 不 相信 他 真的 创造 了 世界纪录 逆袭 的 典范 啊
1586,5.0,时速 200 这个 老头 开心 了 就 手舞足蹈 遇到 任何人 都 要说 抽烟 有害 没有 安全 伞 没有 刹车 的 印第安 只 想开 的 更 快 的 老头 啊 看 得 我 差点 没哭
1587,4.0,本片 改编自 一个 真实 的 故事 主人公 曾 10 次 参加 摩托车 竞速 大赛 最后 一次 是 68 岁 他 的 古董 印第安 摩托 设计 时速 是 89kmh 经他 一次次 改装 后 达到 了 305kmh 并且 这 也 是 目前 的 世界纪录 向 伟大 的 追梦者 致敬
1588,3.0,老年人 主演 的 公路 片 坚持 梦想 是 难得 可是 摩托车 上 竟然 用 瓶塞 来 密封 是不是 太扯 了 一点
1589,4.0,因为 没有 对 好 字幕 从头 浏览 了 一下 温馨 的 人物 温馨 的 音乐 好看
1590,5.0,处处 都 有 可爱 的 人
1591,4.0,老 饼干 怎么 会 发现 一部 这么 逗 的 老年 摩托车 公路 片   新西兰 老头 跨越 大洋 泡 老 妞 喝 冰 可乐 差点 心梗 就 为了 来 一场 印第安 摩托 之旅   好极了
1592,4.0,倔强 又 可爱 的 老头
1594,5.0,人家 能 骑 双子星 我 只能 骑 小绵羊
1595,5.0,只有 不死 都 要 追求 心中 的 梦想 如果 人 没有 梦想 和 蔬菜 有 什么 分别
1596,5.0,"当 我 想 去 的 时候 我 没有 去 当 我 准备 出发 的 时候 我 死 了   
 我 以为 我 一直 在 路上 可 原来 我 从未 出发"
1597,5.0,人 活着 如果 没有 理想 还 不如 去 做 植物
1598,5.0,我 想 这部 片子 已经 荣升 我 最 爱 的 电影 NO1 了 当年 痴迷 的 汉尼拔 在 片里 俨然 成为 发福 的 垂 垂 老者 时   开始 顿生 一丝 伤感 但 接着 看到 这个 乐活 可爱 的 老头 普通 而 又 疯狂 的 逐梦路 时 又 感到 霍普金斯 魅力 的 再次 绽放 I   love   you   I   still   love   youyou   old   guy     个人 非常 喜欢   打十星
1599,5.0,看过 最 好看 的 公路 片 和 励志 片 没有 之一 热泪盈眶 下 了 N年 没 删 的 经典
1600,4.0,里米尼 市图书馆 放映厅 免费 场
1601,4.0,牛 逼 励志 感人
